이름,이메일,비밀번호,학번,학년도,학년,반,번호
김민준,student001@schoolmate.kr,Test1234!,20261101,2026,1,1,1
이서준,student002@schoolmate.kr,Test1234!,20261102,2026,1,1,2
박도윤,student003@schoolmate.kr,Test1234!,20261103,2026,1,1,3
최시우,student004@schoolmate.kr,Test1234!,20261104,2026,1,1,4
정예준,student005@schoolmate.kr,Test1234!,20261105,2026,1,1,5
강주원,student006@schoolmate.kr,Test1234!,20261106,2026,1,1,6
조현우,student007@schoolmate.kr,Test1234!,20261107,2026,1,1,7
윤지훈,student008@schoolmate.kr,Test1234!,20261108,2026,1,1,8
장유찬,student009@schoolmate.kr,Test1234!,20261109,2026,1,1,9
임승민,student010@schoolmate.kr,Test1234!,20261110,2026,1,1,10
한준혁,student011@schoolmate.kr,Test1234!,20261201,2026,1,2,1
오태양,student012@schoolmate.kr,Test1234!,20261202,2026,1,2,2
문성진,student013@schoolmate.kr,Test1234!,20261203,2026,1,2,3
양재원,student014@schoolmate.kr,Test1234!,20261204,2026,1,2,4
손민재,student015@schoolmate.kr,Test1234!,20261205,2026,1,2,5
신지호,student016@schoolmate.kr,Test1234!,20261206,2026,1,2,6
권태준,student017@schoolmate.kr,Test1234!,20261207,2026,1,2,7
홍성현,student018@schoolmate.kr,Test1234!,20261208,2026,1,2,8
남하준,student019@schoolmate.kr,Test1234!,20261209,2026,1,2,9
백도현,student020@schoolmate.kr,Test1234!,20261210,2026,1,2,10
김서연,student021@schoolmate.kr,Test1234!,20262101,2026,2,1,1
이지아,student022@schoolmate.kr,Test1234!,20262102,2026,2,1,2
박하은,student023@schoolmate.kr,Test1234!,20262103,2026,2,1,3
최수아,student024@schoolmate.kr,Test1234!,20262104,2026,2,1,4
정다은,student025@schoolmate.kr,Test1234!,20262105,2026,2,1,5
강아름,student026@schoolmate.kr,Test1234!,20262106,2026,2,1,6
조예린,student027@schoolmate.kr,Test1234!,20262107,2026,2,1,7
윤채원,student028@schoolmate.kr,Test1234!,20262108,2026,2,1,8
장나연,student029@schoolmate.kr,Test1234!,20262109,2026,2,1,9
임지현,student030@schoolmate.kr,Test1234!,20262110,2026,2,1,10
고은별,student031@schoolmate.kr,Test1234!,20263101,2026,3,1,1
노유진,student032@schoolmate.kr,Test1234!,20263102,2026,3,1,2
류하영,student033@schoolmate.kr,Test1234!,20263103,2026,3,1,3
배소연,student034@schoolmate.kr,Test1234!,20263104,2026,3,1,4
서민아,student035@schoolmate.kr,Test1234!,20263105,2026,3,1,5
안지은,student036@schoolmate.kr,Test1234!,20263106,2026,3,1,6
전보라,student037@schoolmate.kr,Test1234!,20263107,2026,3,1,7
진수빈,student038@schoolmate.kr,Test1234!,20263108,2026,3,1,8
채아린,student039@schoolmate.kr,Test1234!,20263109,2026,3,1,9
허소영,student040@schoolmate.kr,Test1234!,20263110,2026,3,1,10
