이름,이메일,비밀번호,사번,부서,직책,담당과목
김영길,teacher001@schoolmate.kr,Test1234!,T2026001,국어과,부장교사,KOR
이미래,teacher002@schoolmate.kr,Test1234!,T2026002,국어과,교사,KOR
박철호,teacher003@schoolmate.kr,Test1234!,T2026003,수학과,부장교사,MATH
최연아,teacher004@schoolmate.kr,Test1234!,T2026004,수학과,교사,MATH
정민수,teacher005@schoolmate.kr,Test1234!,T2026005,영어과,부장교사,ENG
강서희,teacher006@schoolmate.kr,Test1234!,T2026006,영어과,교사,ENG
조태현,teacher007@schoolmate.kr,Test1234!,T2026007,과학과,부장교사,SCI
윤지혜,teacher008@schoolmate.kr,Test1234!,T2026008,과학과,교사,SCI
장민재,teacher009@schoolmate.kr,Test1234!,T2026009,사회과,교사,SOC
임혜진,teacher010@schoolmate.kr,Test1234!,T2026010,사회과,부장교사,HIST
한재영,teacher011@schoolmate.kr,Test1234!,T2026011,체육과,부장교사,PE
오성희,teacher012@schoolmate.kr,Test1234!,T2026012,예술과,교사,MUS
문지영,teacher013@schoolmate.kr,Test1234!,T2026013,예술과,교사,ART
양기준,teacher014@schoolmate.kr,Test1234!,T2026014,정보과,교사,INFO
손채린,teacher015@schoolmate.kr,Test1234!,T2026015,가정과,교사,HOME
